pais,region,tramo,anio,ent_nr,ent_brth_nr,ent_dth_nr,ent_srvl_y3_nr,emp_nr,sal_nr,emp_brth_nr,sal_brth_nr,emp_dth_nr,sal_dth_nr,emp_srvl_y3_nr,emp_srvl_ybrth_y3_nr,grw_ent_pc,ent_brthr_dthr_pc,ent_brthr_pc,ent_brth_pp_pc,ent_dthr_pc,ent_dth_pp_pc,ent_srvlr_brth_y3_pc,ent_srvlr_y3_pc,emp_brthr_pc,ent_brth_empsize_nr,sal_emp_brthr_pc,emp_dthr_pc,ent_dth_empsize_nr,grw_emp_srvl_y3_pc,emp_srvlr_y3_pc,ent_srvl_empsize_y3_nr
Spain,Huesca,0,2009,9373,787,1145,663,10258,0,832,0,1311,0,972,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Huesca,0,2010,9054,896,NA,654,9831,0,951,0,NA,NA,988,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Huesca,0,2011,9219,950,1005,530,10004,0,1002,0,1072,0,855,550,NA,21.21,10.3,81.34,10.9,NA,NA,5.75,10.02,1.05,0,10.72,1.07,55.45,8.55,1.61
Spain,Huesca,0,2012,8819,961,935,429,9637,0,1046,0,1051,0,700,456,-4.34,21.5,10.9,79.95,10.6,NA,NA,4.86,10.85,1.09,0,10.91,1.12,53.51,7.26,1.63
Spain,Huesca,0,2013,8745,982,867,484,9496,0,1054,0,921,0,717,520,-0.84,21.14,11.23,79.32,9.91,NA,NA,5.53,11.1,1.07,0,9.7,1.06,37.88,7.55,1.48
Spain,Huesca,0,2014,8812,1055,NA,520,9537,0,1110,0,NA,NA,758,546,0.77,NA,11.97,80.17,NA,NA,54.74,5.9,11.64,1.05,0,NA,NA,38.83,7.95,1.46
Spain,Huesca,0,2016,9213,1182,1052,541,9652,0,1164,0,1208,0,879,561,NA,24.25,12.83,75.77,11.42,67.13,55.09,5.87,12.06,0.98,0,12.52,1.15,56.68,9.11,1.62
Spain,Huesca,0,2017,8549,843,728,555,8621,0,832,0,756,0,676,578,-7.21,18.38,9.86,78.2,8.52,64.42,52.61,6.49,9.65,0.99,0,8.77,1.04,16.96,7.84,1.22
Spain,Huesca,0,2018,9208,1022,747,618,8880,0,963,0,734,0,945,621,7.71,19.21,11.1,80.66,8.11,65.87,NA,6.71,10.84,0.94,0,8.27,0.98,52.17,10.64,1.53
Spain,Huesca,0,2019,9353,1031,889,779,9040,0,1007,0,899,0,1240,760,1.57,20.53,11.02,78.76,9.5,71.12,65.91,8.33,11.14,0.98,0,9.94,1.01,63.16,13.72,1.59
Spain,Huesca,0,2020,9113,764,NA,495,8686,0,716,0,NA,NA,726,492,-2.57,NA,8.38,83.04,NA,NA,58.72,5.43,8.24,0.94,0,NA,NA,47.56,8.36,1.47
Spain,Teruel,0,2008,5124,486,436,413,5587,0,520,0,477,0,857,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Teruel,0,2009,5117,493,515,380,5654,0,528,0,561,0,662,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Teruel,0,2010,5053,449,NA,299,5550,0,474,0,NA,NA,472,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Teruel,0,2011,5017,488,480,281,5490,0,510,0,508,0,443,301,NA,19.29,9.73,77.22,9.57,NA,NA,5.6,9.29,1.05,0,9.25,1.06,47.18,8.07,1.58
Spain,Teruel,0,2012,4907,500,563,261,5375,0,543,0,630,0,535,285,-2.19,21.66,10.19,78.99,11.47,NA,NA,5.32,10.1,1.09,0,11.72,1.12,87.72,9.95,2.05
Spain,Teruel,0,2013,4804,536,448,241,5254,0,587,0,490,0,335,255,-2.1,20.48,11.16,81.71,9.33,NA,NA,5.02,11.17,1.1,0,9.33,1.09,31.37,6.38,1.39
Spain,Teruel,0,2014,4948,618,NA,257,5376,0,662,0,NA,NA,442,262,3,NA,12.49,80.78,NA,NA,52.66,5.19,12.31,1.07,0,NA,NA,68.7,8.22,1.72
Spain,Teruel,0,2016,5301,635,538,282,5608,0,641,0,621,0,397,302,NA,22.13,11.98,72.32,10.15,62.92,52.61,5.32,11.43,1.01,0,11.07,1.15,31.46,7.08,1.41
Spain,Teruel,0,2017,5056,542,425,332,5175,0,558,0,447,0,447,358,-4.62,19.13,10.72,79.24,8.41,64.39,53.72,6.57,10.78,1.03,0,8.64,1.05,24.86,8.64,1.35
Spain,Teruel,0,2018,5199,582,395,375,5249,0,573,0,406,0,645,386,2.83,18.79,11.19,80.28,7.6,62.5,NA,7.21,10.92,0.98,0,7.73,1.03,67.1,12.29,1.72
Spain,Teruel,0,2019,5340,600,555,381,5382,0,583,0,551,0,618,381,2.71,21.63,11.24,83.22,10.39,73.12,60,7.13,10.83,0.97,0,10.24,0.99,62.2,11.48,1.62
